date,hour_of_day,osmid,subarea,help_convined,help_independent,rank,building_type_name
2024-03-25,1,N10585141905,Deusto,3,3,17,amenity_place_of_worship
2024-03-25,1,W185207502,Uribarri,3,3,17,amenity_police
2024-03-25,1,W366043792,Uribarri,3,3,18,amenity_school
2024-03-25,1,N4060532226,Uribarri,2,154,19,railway_subway_entrance
2024-03-25,1,W921796689,Uribarri,2,52,20,amenity_place_of_worship
2024-03-25,1,N600664788,Deusto,2,42,18,amenity_library
2024-03-25,1,W28211432,Abando,2,39,19,tourism_museum
2024-03-25,1,N3248077509,Abando,2,34,20,amenity_school
2024-03-25,1,N2809991335,Abando,2,30,21,amenity_place_of_worship
2024-03-25,1,W185205678,Deusto,2,29,19,amenity_place_of_worship
2024-03-25,1,W53764581,Ibaiondo,2,29,23,amenity_school
2024-03-25,1,W389713153,Errekalde,2,28,14,amenity_school
2024-03-25,1,W178937537,Begona,2,24,10,amenity_school
2024-03-25,1,N707156296,Deusto,2,23,20,amenity_place_of_worship
2024-03-25,1,W176664325,Deusto,2,22,21,amenity_place_of_worship
2024-03-25,1,W248855598,Uribarri,2,21,21,amenity_school
2024-03-25,1,N6462703895,Ibaiondo,2,19,24,amenity_police
2024-03-25,1,N10571583809,Errekalde,2,14,15,amenity_library
2024-03-25,1,W254514789,Deusto,2,13,22,amenity_community_centre
2024-03-25,1,W185206614,Deusto,2,12,23,amenity_school
2024-03-25,1,W185205676,Deusto,2,10,24,amenity_police
2024-03-25,1,W289798436,Ibaiondo,2,10,25,amenity_school
2024-03-25,1,W173091204,Ibaiondo,2,7,26,tourism_hostel
2024-03-25,1,W162445376,Uribarri,2,5,22,building_public
2024-03-25,1,W627458976,Begona,2,5,11,building_train_station
2024-03-25,1,W162445381,Uribarri,2,2,23,building_public
2024-03-25,1,W368598943,Basurtu-Zorrotza,2,2,17,amenity_police
2024-03-25,1,W41642582,Ibaiondo,2,2,27,amenity_place_of_worship
2024-03-25,1,N4060532213,Uribarri,1,120,24,railway_subway_entrance
2024-03-25,1,N4060532214,Uribarri,1,119,25,railway_subway_entrance
2024-03-25,1,N6178510177,Uribarri,1,106,26,amenity_place_of_worship
2024-03-25,1,W1339744898,Abando,1,88,22,building_public
2024-03-25,1,W107531575,Abando,1,77,23,amenity_courthouse
2024-03-25,1,W174088383,Abando,1,57,24,amenity_school
2024-03-25,1,W115272112,Otxarkoaga-Txurdinaga,1,24,17,amenity_place_of_worship
2024-03-25,1,N4944875063,Basurtu-Zorrotza,1,20,18,railway_subway_entrance
2024-03-25,1,N6777788085,Deusto,1,20,25,amenity_community_centre
2024-03-25,1,N3922519111,Errekalde,1,15,16,tourism_museum
2024-03-25,1,W133202039,Deusto,1,14,26,amenity_school
2024-03-25,1,W28463782,Begona,1,14,12,amenity_place_of_worship
2024-03-25,1,W174088302,Abando,1,9,25,building_public
2024-03-25,1,W386847400,Otxarkoaga-Txurdinaga,1,7,18,amenity_community_centre
2024-03-25,1,W185205751,Deusto,1,4,27,amenity_school
2024-03-25,1,N5308301923,Basurtu-Zorrotza,1,2,19,tourism_museum
2024-03-25,1,W404633890,Basurtu-Zorrotza,1,1,20,amenity_police
2024-03-25,2,W301694701,Basurtu-Zorrotza,246,246,1,amenity_place_of_worship
2024-03-25,2,W108497734,Ibaiondo,160,160,1,building_public
2024-03-25,2,N4952944853,Uribarri,155,155,1,railway_subway_entrance
2024-03-25,2,N3207631929,Abando,135,135,1,amenity_arts_centre
2024-03-25,2,N4060532222,Uribarri,129,137,2,railway_subway_entrance
2024-03-25,2,W300969657,Basurtu-Zorrotza,96,96,2,amenity_place_of_worship
2024-03-25,2,W305271005,Uribarri,88,88,3,amenity_community_centre
2024-03-25,2,N4739465025,Ibaiondo,85,85,2,amenity_arts_centre
2024-03-25,2,N9423152961,Abando,76,96,2,tourism_hostel
2024-03-25,2,N5056378492,Abando,58,58,3,tourism_hostel
2024-03-25,2,W891085786,Errekalde,57,57,1,amenity_place_of_worship
2024-03-25,2,N620032721,Uribarri,56,69,4,amenity_place_of_worship
2024-03-25,2,W201671663,Otxarkoaga-Txurdinaga,56,56,1,amenity_school
2024-03-25,2,N4105324002,Abando,55,55,4,amenity_police
